Generated by http://statistics.gov.scot,2020-12-07T13:30:59+00:00
http://statistics.gov.scot/data/age-at-first-birth,Age of First Time Mothers
Reference Period,2009/10-2011/12
Age,19 years and under
Measure (cell values): ,"Count(First Time Mothers), Ratio(Percent Of First Time Mothers)"

,,http://statistics.gov.scot/def/measure-properties/count,http://statistics.gov.scot/def/measure-properties/ratio
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,Count,Ratio
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,9194,11.6
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,316,7.82
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,286,8.13
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,212,14.11
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,129,11.89
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,386,5.54
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,144,16.46
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,260,14.08
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,391,15.62
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,307,15.91
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,104,8.46
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,107,11.73
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,56,5.46
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,307,11.52
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,867,15.42
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,1229,10.95
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,455,14.29
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,161,14
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,116,12.98
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,178,14.82
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,35,11.74
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,375,18.87
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,723,13.16
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,24,9.2
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,208,10.59
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,327,12.16
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,168,12.34
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,36,6.17
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,218,14.85
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,480,10.29
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,127,10.38
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,200,15.41
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,238,10.67
http://statistics.gov.scot/id/statistical-geography/S16000074,Aberdeen Central,88,5.23
http://statistics.gov.scot/id/statistical-geography/S16000075,Aberdeen Donside,149,10.86
http://statistics.gov.scot/id/statistical-geography/S16000076,Aberdeen South and North Kincardine,91,7.67
http://statistics.gov.scot/id/statistical-geography/S16000077,Aberdeenshire East,77,7.06
http://statistics.gov.scot/id/statistical-geography/S16000078,Aberdeenshire West,50,5.31
http://statistics.gov.scot/id/statistical-geography/S16000079,Airdrie and Shotts,156,14.22
http://statistics.gov.scot/id/statistical-geography/S16000080,Almond Valley,126,11.3
http://statistics.gov.scot/id/statistical-geography/S16000081,Angus North and Mearns,119,12.55
http://statistics.gov.scot/id/statistical-geography/S16000082,Angus South,114,12.54
http://statistics.gov.scot/id/statistical-geography/S16000083,Argyll and Bute,89,11.54
http://statistics.gov.scot/id/statistical-geography/S16000084,Ayr,139,14.48
http://statistics.gov.scot/id/statistical-geography/S16000085,Banffshire and Buchan Coast,160,14.44
http://statistics.gov.scot/id/statistical-geography/S16000086,"Caithness, Sutherland and Ross",162,18.99
http://statistics.gov.scot/id/statistical-geography/S16000087,"Carrick, Cumnock and Doon Valley",198,18.02
http://statistics.gov.scot/id/statistical-geography/S16000088,Clackmannanshire and Dunblane,147,14.37
http://statistics.gov.scot/id/statistical-geography/S16000089,Clydebank and Milngavie,103,12.96
http://statistics.gov.scot/id/statistical-geography/S16000090,Clydesdale,103,10.64
http://statistics.gov.scot/id/statistical-geography/S16000091,Coatbridge and Chryston,138,11.78
http://statistics.gov.scot/id/statistical-geography/S16000092,Cowdenbeath,206,17.33
http://statistics.gov.scot/id/statistical-geography/S16000093,Cumbernauld and Kilsyth,136,11.94
http://statistics.gov.scot/id/statistical-geography/S16000094,Cunninghame North,155,17.38
http://statistics.gov.scot/id/statistical-geography/S16000095,Cunninghame South,220,20.09
http://statistics.gov.scot/id/statistical-geography/S16000096,Dumbarton,145,13.84
http://statistics.gov.scot/id/statistical-geography/S16000097,Dumfriesshire,115,12.5
http://statistics.gov.scot/id/statistical-geography/S16000098,Dundee City East,222,16.95
http://statistics.gov.scot/id/statistical-geography/S16000099,Dundee City West,169,14.15
http://statistics.gov.scot/id/statistical-geography/S16000100,Dunfermline,146,12.04
http://statistics.gov.scot/id/statistical-geography/S16000101,East Kilbride,93,8.94
http://statistics.gov.scot/id/statistical-geography/S16000102,East Lothian,74,11.46
http://statistics.gov.scot/id/statistical-geography/S16000103,Eastwood,21,2.82
