Generated by http://statistics.gov.scot,2020-12-07T13:26:05+00:00
http://statistics.gov.scot/data/age-at-first-birth,Age of First Time Mothers
Reference Period,2000/01-2002/03
Age,19 years and under
Measure (cell values): ,"Count(First Time Mothers), Ratio(Percent Of First Time Mothers)"

,,http://statistics.gov.scot/def/measure-properties/count,http://statistics.gov.scot/def/measure-properties/ratio
http://statistics.gov.scot/id/statistical-geography/S16000114,Galloway and West Dumfries,197,23.68
http://statistics.gov.scot/id/statistical-geography/S16000115,Glasgow Anniesland,188,20.75
http://statistics.gov.scot/id/statistical-geography/S16000116,Glasgow Cathcart,181,16.15
http://statistics.gov.scot/id/statistical-geography/S16000117,Glasgow Kelvin,70,7.59
http://statistics.gov.scot/id/statistical-geography/S16000118,Glasgow Maryhill and Springburn,283,23.96
http://statistics.gov.scot/id/statistical-geography/S16000119,Glasgow Pollok,257,23.24
http://statistics.gov.scot/id/statistical-geography/S16000147,Glasgow Provan,301,25.21
http://statistics.gov.scot/id/statistical-geography/S16000121,Glasgow Shettleston,217,20.89
http://statistics.gov.scot/id/statistical-geography/S16000122,Glasgow Southside,170,14.15
http://statistics.gov.scot/id/statistical-geography/S16000123,Greenock and Inverclyde,264,25.07
http://statistics.gov.scot/id/statistical-geography/S16000124,"Hamilton, Larkhall and Stonehouse",164,15.6
http://statistics.gov.scot/id/statistical-geography/S16000125,Inverness and Nairn,180,17.24
http://statistics.gov.scot/id/statistical-geography/S16000126,Kilmarnock and Irvine Valley,194,18.05
http://statistics.gov.scot/id/statistical-geography/S16000127,Kirkcaldy,211,20.37
http://statistics.gov.scot/id/statistical-geography/S16000128,Linlithgow,182,15.26
http://statistics.gov.scot/id/statistical-geography/S16000129,Mid Fife and Glenrothes,197,20.98
http://statistics.gov.scot/id/statistical-geography/S16000130,Midlothian North and Musselburgh,155,15.48
http://statistics.gov.scot/id/statistical-geography/S16000131,"Midlothian South, Tweeddale and Lauderdale",142,13.91
http://statistics.gov.scot/id/statistical-geography/S16000132,Moray,144,14.94
http://statistics.gov.scot/id/statistical-geography/S16000133,Motherwell and Wishaw,213,19.65
http://statistics.gov.scot/id/statistical-geography/S16000110,Na h-Eileanan an Iar,29,10.82
http://statistics.gov.scot/id/statistical-geography/S16000134,North East Fife,83,10.74
http://statistics.gov.scot/id/statistical-geography/S16000135,Orkney Islands,25,14.53
http://statistics.gov.scot/id/statistical-geography/S16000136,Paisley,215,19.62
http://statistics.gov.scot/id/statistical-geography/S16000137,Perthshire North,91,12.53
http://statistics.gov.scot/id/statistical-geography/S16000138,Perthshire South and Kinross-shire,105,11.62
http://statistics.gov.scot/id/statistical-geography/S16000139,Renfrewshire North and West,97,11.93
http://statistics.gov.scot/id/statistical-geography/S16000140,Renfrewshire South,186,19.33
http://statistics.gov.scot/id/statistical-geography/S16000141,Rutherglen,173,15.46
http://statistics.gov.scot/id/statistical-geography/S16000142,Shetland Islands,38,13.43
http://statistics.gov.scot/id/statistical-geography/S16000143,"Skye, Lochaber and Badenoch",105,13.71
http://statistics.gov.scot/id/statistical-geography/S16000144,Stirling,134,14.49
http://statistics.gov.scot/id/statistical-geography/S16000148,Strathkelvin and Bearsden,97,11.41
http://statistics.gov.scot/id/statistical-geography/S16000146,Uddingston and Bellshill,221,19.49
http://statistics.gov.scot/id/statistical-geography/S08000015,Ayrshire and Arran,936,19.86
http://statistics.gov.scot/id/statistical-geography/S08000016,Borders,164,13.12
http://statistics.gov.scot/id/statistical-geography/S08000017,Dumfries and Galloway,333,19.75
http://statistics.gov.scot/id/statistical-geography/S08000029,Fife,858,18.07
http://statistics.gov.scot/id/statistical-geography/S08000019,Forth Valley,597,15.41
http://statistics.gov.scot/id/statistical-geography/S08000020,Grampian,878,12.12
http://statistics.gov.scot/id/statistical-geography/S08000031,Greater Glasgow and Clyde,2796,17.85
http://statistics.gov.scot/id/statistical-geography/S08000022,Highland,554,16.14
http://statistics.gov.scot/id/statistical-geography/S08000032,Lanarkshire,1493,16.16
http://statistics.gov.scot/id/statistical-geography/S08000024,Lothian,1504,13.41
http://statistics.gov.scot/id/statistical-geography/S08000025,Orkney,25,14.53
http://statistics.gov.scot/id/statistical-geography/S08000026,Shetland,38,13.43
http://statistics.gov.scot/id/statistical-geography/S08000030,Tayside,864,18.29
http://statistics.gov.scot/id/statistical-geography/S08000028,Western Isles,29,10.82
http://statistics.gov.scot/id/statistical-geography/S13002537,Abbey,18,16.22
http://statistics.gov.scot/id/statistical-geography/S13002503,"Aboyne, Upper Deeside and Donside",9,8.33
http://statistics.gov.scot/id/statistical-geography/S13002715,"Abronhill, Kildrum and the Village",34,13.88
http://statistics.gov.scot/id/statistical-geography/S13002674,Aird and Loch Ness,9,9.57
http://statistics.gov.scot/id/statistical-geography/S13002719,Airdrie Central,72,30
http://statistics.gov.scot/id/statistical-geography/S13002718,Airdrie North,43,17.48
http://statistics.gov.scot/id/statistical-geography/S13002722,Airdrie South,51,14.09
http://statistics.gov.scot/id/statistical-geography/S13002486,Airyhall / Broomhill / Garthdee,18,9.09
http://statistics.gov.scot/id/statistical-geography/S13002583,Almond,19,5.69
http://statistics.gov.scot/id/statistical-geography/S13002746,Almond and Earn,6,5.41
http://statistics.gov.scot/id/statistical-geography/S13002608,An Taobh Siar agus Nis,5,20.83
http://statistics.gov.scot/id/statistical-geography/S13002650,Anderston / City,28,11.76
http://statistics.gov.scot/id/statistical-geography/S13002544,Annandale East and Eskdale,15,14.29
http://statistics.gov.scot/id/statistical-geography/S13002543,Annandale North,23,17.04
http://statistics.gov.scot/id/statistical-geography/S13002542,Annandale South,31,18.67
http://statistics.gov.scot/id/statistical-geography/S13002553,Annick,17,13.93
http://statistics.gov.scot/id/statistical-geography/S13002514,Arbroath East and Lunan,58,30.05
http://statistics.gov.scot/id/statistical-geography/S13002513,Arbroath West and Letham,32,17.02
http://statistics.gov.scot/id/statistical-geography/S13002708,Ardrossan and Arran,58,24.58
http://statistics.gov.scot/id/statistical-geography/S13002828,Armadale and Blackridge,39,19.4
http://statistics.gov.scot/id/statistical-geography/S13002791,Avondale and Stonehouse,12,5.61
http://statistics.gov.scot/id/statistical-geography/S13002782,Ayr East,32,16.75
http://statistics.gov.scot/id/statistical-geography/S13002781,Ayr North,70,26.32
http://statistics.gov.scot/id/statistical-geography/S13002783,Ayr West,10,7.46
http://statistics.gov.scot/id/statistical-geography/S13002682,Badenoch and Strathspey,14,12.07
http://statistics.gov.scot/id/statistical-geography/S13002660,Baillieston,76,18.05
http://statistics.gov.scot/id/statistical-geography/S13002559,Ballochmyle,40,25
http://statistics.gov.scot/id/statistical-geography/S13002504,Banchory and Mid Deeside,5,5.88
http://statistics.gov.scot/id/statistical-geography/S13002489,Banff and District,11,9.17
http://statistics.gov.scot/id/statistical-geography/S13002813,Bannockburn,29,15.76
http://statistics.gov.scot/id/statistical-geography/S13002600,"Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas",3,14.29
http://statistics.gov.scot/id/statistical-geography/S13002578,Barrhead,38,16.17
http://statistics.gov.scot/id/statistical-geography/S13002827,Bathgate,31,11.97
http://statistics.gov.scot/id/statistical-geography/S13002563,Bearsden North,7,4.61
http://statistics.gov.scot/id/statistical-geography/S13002564,Bearsden South,9,9.47
http://statistics.gov.scot/id/statistical-geography/S13002601,Beinn na Foghla agus Uibhist a Tuath,1,3.45
http://statistics.gov.scot/id/statistical-geography/S13002725,Bellshill,52,22.91
http://statistics.gov.scot/id/statistical-geography/S13002566,Bishopbriggs North and Torrance,12,11.11
