Generated by http://statistics.gov.scot,2020-12-07T13:23:04+00:00
http://statistics.gov.scot/data/age-at-first-birth,Age of First Time Mothers
Reference Period,1999/00-2001/02
Age,19 years and under
Measure (cell values): ,"Count(First Time Mothers), Ratio(Percent Of First Time Mothers)"

,,http://statistics.gov.scot/def/measure-properties/count,http://statistics.gov.scot/def/measure-properties/ratio
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,Count,Ratio
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,11661,16.43
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,432,13.54
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,281,9.19
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,236,17.66
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,131,14
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,837,12.55
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,142,21.26
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,360,21.15
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,504,25.33
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,361,21.73
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,111,9.51
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,173,14.26
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,84,7.37
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,320,15.01
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,889,18.38
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,1769,19.64
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,486,17.76
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,257,22.74
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,189,16.21
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,153,13.52
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,31,11.7
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,385,21.11
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,896,18.06
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,19,10.11
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,234,13.69
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,451,17.21
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,168,13.27
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,38,13.06
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,235,16.93
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,609,14.15
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,140,12.94
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,255,20.13
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,457,16.91
http://statistics.gov.scot/id/statistical-geography/S16000074,Aberdeen Central,149,12.69
http://statistics.gov.scot/id/statistical-geography/S16000075,Aberdeen Donside,173,15.52
http://statistics.gov.scot/id/statistical-geography/S16000076,Aberdeen South and North Kincardine,127,11.48
http://statistics.gov.scot/id/statistical-geography/S16000077,Aberdeenshire East,73,7.43
http://statistics.gov.scot/id/statistical-geography/S16000078,Aberdeenshire West,42,5.5
http://statistics.gov.scot/id/statistical-geography/S16000079,Airdrie and Shotts,210,20.43
http://statistics.gov.scot/id/statistical-geography/S16000080,Almond Valley,258,17.26
http://statistics.gov.scot/id/statistical-geography/S16000081,Angus North and Mearns,110,13.84
http://statistics.gov.scot/id/statistical-geography/S16000082,Angus South,151,18.02
http://statistics.gov.scot/id/statistical-geography/S16000083,Argyll and Bute,102,15.96
http://statistics.gov.scot/id/statistical-geography/S16000084,Ayr,155,16.37
http://statistics.gov.scot/id/statistical-geography/S16000085,Banffshire and Buchan Coast,150,15.67
http://statistics.gov.scot/id/statistical-geography/S16000086,"Caithness, Sutherland and Ross",167,20.64
http://statistics.gov.scot/id/statistical-geography/S16000087,"Carrick, Cumnock and Doon Valley",226,23.47
http://statistics.gov.scot/id/statistical-geography/S16000088,Clackmannanshire and Dunblane,150,18.36
http://statistics.gov.scot/id/statistical-geography/S16000089,Clydebank and Milngavie,141,14.95
http://statistics.gov.scot/id/statistical-geography/S16000090,Clydesdale,100,11.42
http://statistics.gov.scot/id/statistical-geography/S16000091,Coatbridge and Chryston,161,16.05
http://statistics.gov.scot/id/statistical-geography/S16000092,Cowdenbeath,193,18.83
http://statistics.gov.scot/id/statistical-geography/S16000093,Cumbernauld and Kilsyth,133,13.41
http://statistics.gov.scot/id/statistical-geography/S16000094,Cunninghame North,181,20.22
http://statistics.gov.scot/id/statistical-geography/S16000095,Cunninghame South,204,21.96
http://statistics.gov.scot/id/statistical-geography/S16000096,Dumbarton,158,16.77
http://statistics.gov.scot/id/statistical-geography/S16000097,Dumfriesshire,141,16.79
http://statistics.gov.scot/id/statistical-geography/S16000098,Dundee City East,274,25.58
http://statistics.gov.scot/id/statistical-geography/S16000099,Dundee City West,230,25.03
http://statistics.gov.scot/id/statistical-geography/S16000100,Dunfermline,165,16.55
http://statistics.gov.scot/id/statistical-geography/S16000101,East Kilbride,125,12.02
http://statistics.gov.scot/id/statistical-geography/S16000102,East Lothian,121,14.49
http://statistics.gov.scot/id/statistical-geography/S16000103,Eastwood,23,2.85
